current_tariff,arpu_segment,target_tariff,historical_observations,valid_lift_observations,mean_lift,median_lift,positive_transition_share,standard_error,audience_size,shrunk_lift_prior,shrunk_standard_error,ranking_score,small_sample
tariff_14,LOW,tariff_9,44,30,3.15888102,0.79524008,0.56666667,1.36854354,231,1.48602514,0.82112612,1.07546208,True
tariff_3,MID,tariff_11,29,29,0.89283849,0.59575025,0.58620690,0.39145003,87,0.82395332,0.23167451,0.70811607,True
tariff_3,MID,tariff_10,31,31,0.84430052,0.43448141,0.61290323,0.35601498,87,0.79715123,0.21640126,0.68895060,True
tariff_3,MID,tariff_8,241,241,0.73605428,0.45266837,0.60995851,0.11393913,87,0.72964528,0.10520817,0.67704120,False
tariff_13,MID,tariff_10,29,29,0.68131875,0.66455322,0.75862069,0.23400587,1022,0.69876817,0.13849327,0.62952154,True
tariff_12,MID,tariff_8,78,78,0.55306123,0.33533360,0.74358974,0.12082089,342,0.58796094,0.09616357,0.53987916,False
tariff_15,MID,tariff_10,180,180,0.54278258,0.43958130,0.77777778,0.07809249,80,0.56091131,0.07028324,0.52576969,False
tariff_4,MID,tariff_11,41,41,0.53781280,0.21618226,0.56097561,0.26886915,1227,0.59888068,0.18071533,0.50852302,True
tariff_9,MID,tariff_8,71,71,0.53224064,0.14323888,0.57746479,0.19012256,67,0.57440090,0.14833738,0.50023221,False
tariff_15,MID,tariff_8,430,430,0.50141496,0.46132938,0.75813953,0.04039190,80,0.51131073,0.03859671,0.49201238,False
tariff_13,MID,tariff_9,28,28,0.99459668,0.36422755,0.75000000,0.67365489,1022,0.68249427,0.39296535,0.48601159,True
tariff_9,MID,tariff_4,37,37,0.46215905,0.37596881,0.59459459,0.21497720,67,0.55405757,0.13954660,0.48428426,True
